country,country_wb,gdp_country_code,year,season,medal_count,gdp_per_capita
Cameroon,Cameroon,CMR,2008,Summer,1,1492.14269801453
Canada,Canada,CAN,2008,Summer,20,46710.2526864484
Chile,Chile,CHL,2008,Summer,1,10683.2188772511
China,China,CHN,2008,Summer,100,3523.44302065213
Colombia,Colombia,COL,2008,Summer,3,5541.83629665898
Croatia,Croatia,HRV,2008,Summer,5,15888.0606949392
Cuba,Cuba,CUB,2008,Summer,30,4986.12436479175
Czech Republic,Czechia,CZE,2008,Summer,7,22774.7045076205
Denmark,Denmark,DNK,2008,Summer,7,64616.6657583663
Dominican Republic,Dominican Republic,DOM,2008,Summer,2,5023.58513403515
Ecuador,Ecuador,ECU,2008,Summer,1,4194.75750661981
Egypt,"Egypt, Arab Rep.",EGY,2008,Summer,2,1896.21594269779
Estonia,Estonia,EST,2008,Summer,2,18205.9064113446
Ethiopia,Ethiopia,ETH,2008,Summer,7,316.410475118075
Finland,Finland,FIN,2008,Summer,4,53769.4726240385
France,France,FRA,2008,Summer,43,45464.8181385158
Georgia,Georgia,GEO,2008,Summer,7,3324.7537205015
Germany,Germany,DEU,2008,Summer,41,46379.1647953479
Great Britain,United Kingdom,GBR,2008,Summer,51,47652.4030691881
Greece,Greece,GRC,2008,Summer,3,31695.8331092209
Hungary,Hungary,HUN,2008,Summer,10,15762.6322515113
Iceland,Iceland,ISL,2008,Summer,1,57489.3399795216
India,India,IND,2008,Summer,3,992.519584923828
Indonesia,Indonesia,IDN,2008,Summer,6,2124.55483920618
Iran,"Iran, Islamic Rep.",IRN,2008,Summer,2,5377.4115072957
Ireland,Ireland,IRL,2008,Summer,3,61353.1065629523
Israel,Israel,ISR,2008,Summer,1,30269.217773489
Italy,Italy,ITA,2008,Summer,27,40828.5795580937
Jamaica,Jamaica,JAM,2008,Summer,11,5029.80095281745
Japan,Japan,JPN,2008,Summer,25,39876.3039685725
Kazakhstan,Kazakhstan,KAZ,2008,Summer,9,8123.54705891736
Kenya,Kenya,KEN,2008,Summer,16,915.54435473604
Korea Republic,"Korea, Rep.",KOR,2008,Summer,32,22252.3125108061
Kyrgyzstan,Kyrgyz Republic,KGZ,2008,Summer,3,966.388569370494
Latvia,Latvia,LVA,2008,Summer,3,15677.6080864506
Lithuania,Lithuania,LTU,2008,Summer,5,14955.5345462921
Malaysia,Malaysia,MYS,2008,Summer,1,8371.82156086005
Mauritius,Mauritius,MUS,2008,Summer,1,8140.50808595895
Mexico,Mexico,MEX,2008,Summer,4,10523.7685403244
Moldova,Moldova,MDA,2008,Summer,1,2110.55305353857
Mongolia,Mongolia,MNG,2008,Summer,4,2127.42678594737
Morocco,Morocco,MAR,2008,Summer,2,3183.20043945313
Netherlands,Netherlands,NLD,2008,Summer,16,58246.7026905874
New Zealand,New Zealand,NZL,2008,Summer,9,31324.7397977102
Nigeria,Nigeria,NGA,2008,Summer,5,2154.10543545364
Norway,Norway,NOR,2008,Summer,9,97503.5407803783
Panama,Panama,PAN,2008,Summer,1,7347.59049046839
Poland,Poland,POL,2008,Summer,11,14048.5604672654
Portugal,Portugal,PRT,2008,Summer,2,24949.0413566739
Romania,Romania,ROU,2008,Summer,9,10435.1561230787
Russian Federation,Russian Federation,RUS,2008,Summer,60,11635.2841796875
Samoa,Samoa,WSM,2008,Summer,1,3373.60639884263
Serbia,Serbia,SRB,2008,Summer,3,7376.73517910716
Singapore,Singapore,SGP,2008,Summer,1,40008.5720489092
Slovakia,Slovak Republic,SVK,2008,Summer,6,18744.3192278346
Slovenia,Slovenia,SVN,2008,Summer,5,27461.9764165315
South Africa,South Africa,ZAF,2008,Summer,1,6184.75474328399
Spain,Spain,ESP,2008,Summer,19,35603.248328071
Sudan,Sudan,SDN,2008,Summer,1,1527.58239746094
Sweden,Sweden,SWE,2008,Summer,5,55817.1759726485
Switzerland,Switzerland,CHE,2008,Summer,7,74175.1927898555
Tajikistan,Tajikistan,TJK,2008,Summer,2,703.327375898643
Thailand,Thailand,THA,2008,Summer,6,4309.13509292986
Togo,Togo,TGO,2008,Summer,1,718.948386717473
Trinidad and Tobago,Trinidad and Tobago,TTO,2008,Summer,2,21298.9945258063
Tunisia,Tunisia,TUN,2008,Summer,1,4255.05008019523
Turkey,Turkiye,TUR,2008,Summer,5,10913.4079047769
Ukraine,Ukraine,UKR,2008,Summer,22,4017.806640625
United States,United States,USA,2008,Summer,112,48570.0459804586
Uzbekistan,Uzbekistan,UZB,2008,Summer,4,1074.72928796701
Venezuela,"Venezuela, RB",VEN,2008,Summer,1,11262.4514256759
Vietnam,Viet Nam,VNM,2008,Summer,1,1163.83195772873
Zimbabwe,Zimbabwe,ZWE,2008,Summer,4,340.917447588572
Australia,Australia,AUS,2010,Winter,3,52313.8939041213
Austria,Austria,AUT,2010,Winter,16,46611.1393420232
Belarus,Belarus,BLR,2010,Winter,3,6034.67885177216
Canada,Canada,CAN,2010,Winter,26,47560.6666009406
China,China,CHN,2010,Winter,11,4629.24551710077
Croatia,Croatia,HRV,2010,Winter,3,13729.7654965022
Czech Republic,Czechia,CZE,2010,Winter,6,20160.4355077059
Estonia,Estonia,EST,2010,Winter,1,14663.7041018705
Finland,Finland,FIN,2010,Winter,5,46506.2919016566
France,France,FRA,2010,Winter,11,40694.8211697025
Germany,Germany,DEU,2010,Winter,30,42396.9665976293
Great Britain,United Kingdom,GBR,2010,Winter,1,39778.3220528565
Italy,Italy,ITA,2010,Winter,5,35856.8625485539
Japan,Japan,JPN,2010,Winter,5,44968.1562349739
Kazakhstan,Kazakhstan,KAZ,2010,Winter,1,8793.07589980782
Korea Republic,"Korea, Rep.",KOR,2010,Winter,14,24071.2620526362
Latvia,Latvia,LVA,2010,Winter,2,11188.4191700977
Netherlands,Netherlands,NLD,2010,Winter,8,51305.7338533973
Norway,Norway,NOR,2010,Winter,23,88163.2085931423
Poland,Poland,POL,2010,Winter,6,12567.7317676382
Russian Federation,Russian Federation,RUS,2010,Winter,15,10674.990234375
Slovakia,Slovak Republic,SVK,2010,Winter,3,16899.448680529
Slovenia,Slovenia,SVN,2010,Winter,3,23329.8417691156
Sweden,Sweden,SWE,2010,Winter,11,52542.5759090299
Switzerland,Switzerland,CHE,2010,Winter,9,76531.3729407691
United States,United States,USA,2010,Winter,37,48642.6100179312
Afghanistan,Afghanistan,AFG,2012,Summer,1,651.417134470046
Algeria,Algeria,DZA,2012,Summer,1,6033.64884689543
Argentina,Argentina,ARG,2012,Summer,4,12949.717486654
Armenia,Armenia,ARM,2012,Summer,2,3511.56399687426
Australia,Australia,AUS,2012,Summer,35,68301.4402512587
Azerbaijan,Azerbaijan,AZE,2012,Summer,9,7495.86527658099
Bahamas,"Bahamas, The",BHS,2012,Summer,1,28552.0242683151
Bahrain,Brunei Darussalam,BRN,2012,Summer,1,46968.5971164922
Belarus,Belarus,BLR,2012,Summer,10,6953.21591683101
Belgium,Belgium,BEL,2012,Summer,3,44874.1709182123
Botswana,Botswana,BWA,2012,Summer,1,6595.53845015424
Brazil,Brazil,BRA,2012,Summer,17,12521.7238454434
Bulgaria,Bulgaria,BGR,2012,Summer,3,7431.95789508871
Cameroon,Cameroon,CMR,2012,Summer,1,1449.09874362279
Canada,Canada,CAN,2012,Summer,18,52670.3447335415
China,China,CHN,2012,Summer,92,6405.0574241349
Colombia,Colombia,COL,2012,Summer,9,8108.59838244229
Croatia,Croatia,HRV,2012,Summer,6,13507.7805260991
Cuba,Cuba,CUB,2012,Summer,15,6470.83673392653
Cyprus,Cyprus,CYP,2012,Summer,1,28991.935546875
Czech Republic,Czechia,CZE,2012,Summer,11,20014.0354015165
Denmark,Denmark,DNK,2012,Summer,9,58443.7747103968
Dominican Republic,Dominican Republic,DOM,2012,Summer,2,6013.81965002603
Egypt,"Egypt, Arab Rep.",EGY,2012,Summer,4,2996.0677072015
Estonia,Estonia,EST,2012,Summer,2,17568.2137969714
Ethiopia,Ethiopia,ETH,2012,Summer,8,452.101031885754
Finland,Finland,FIN,2012,Summer,3,47551.6740841369
France,France,FRA,2012,Summer,35,40863.5814412333
Gabon,Gabon,GAB,2012,Summer,1,9296.96587941088
Georgia,Georgia,GEO,2012,Summer,6,4530.69533409431
Germany,Germany,DEU,2012,Summer,44,44718.0159214069
Great Britain,United Kingdom,GBR,2012,Summer,65,42688.3263728372
Greece,Greece,GRC,2012,Summer,2,21624.346052551
Grenada,Grenada,GRD,2012,Summer,1,7092.71985352677
Guatemala,Guatemala,GTM,2012,Summer,1,3286.61959336267
"Hong Kong, China","Hong Kong SAR, China",HKG,2012,Summer,1,36730.796195815
Hungary,Hungary,HUN,2012,Summer,18,12950.1594488143
India,India,IND,2012,Summer,6,1429.32199520032
Indonesia,Indonesia,IDN,2012,Summer,3,3632.27254030331
Iran,"Iran, Islamic Rep.",IRN,2012,Summer,13,8114.08099831877
Ireland,Ireland,IRL,2012,Summer,6,49335.8408099555
Italy,Italy,ITA,2012,Summer,28,34854.3949441965
Jamaica,Jamaica,JAM,2012,Summer,13,5340.83333232158
Japan,Japan,JPN,2012,Summer,38,49145.2804308193
Kazakhstan,Kazakhstan,KAZ,2012,Summer,11,12018.7966527993
Kenya,Kenya,KEN,2012,Summer,13,1285.00536171512
Korea Republic,"Korea, Rep.",KOR,2012,Summer,31,26600.5477433903
Kuwait,Kuwait,KWT,2012,Summer,1,52155.2225833921
Latvia,Latvia,LVA,2012,Summer,2,13329.3499931271
Lithuania,Lithuania,LTU,2012,Summer,5,14288.1853493139
Malaysia,Malaysia,MYS,2012,Summer,2,10600.5744240026
Mexico,Mexico,MEX,2012,Summer,8,10744.1335242686
Mongolia,Mongolia,MNG,2012,Summer,5,4328.89001905655
Montenegro,Montenegro,MNE,2012,Summer,1,6552.48071710904
Morocco,Morocco,MAR,2012,Summer,1,3164.17724609375
Netherlands,Netherlands,NLD,2012,Summer,20,50473.9442002689
New Zealand,New Zealand,NZL,2012,Summer,13,40053.6991536369
Norway,Norway,NOR,2012,Summer,4,102175.919298374
Poland,Poland,POL,2012,Summer,11,13087.420943321
Portugal,Portugal,PRT,2012,Summer,1,20593.4274224109
Puerto Rico,Puerto Rico (US),PRI,2012,Summer,2,27742.024476618
Qatar,Qatar,QAT,2012,Summer,2,108470.387023229
Romania,Romania,ROU,2012,Summer,7,8929.95366231474
Russian Federation,Russian Federation,RUS,2012,Summer,64,15401.8515625
Saudi Arabia,Saudi Arabia,SAU,2012,Summer,1,28733.4375513452
Serbia,Serbia,SRB,2012,Summer,4,6263.04086072815
Singapore,Singapore,SGP,2012,Summer,2,55547.5553077786
Slovakia,Slovak Republic,SVK,2012,Summer,4,17516.9691054078
Slovenia,Slovenia,SVN,2012,Summer,4,22442.1417859955
South Africa,South Africa,ZAF,2012,Summer,6,8076.97678479741
Spain,Spain,ESP,2012,Summer,20,28456.4438151477
Sweden,Sweden,SWE,2012,Summer,8,57749.5615420853
Switzerland,Switzerland,CHE,2012,Summer,4,85836.2076767359
Tajikistan,Tajikistan,TJK,2012,Summer,1,952.452819695469
Thailand,Thailand,THA,2012,Summer,4,5725.52802835463
Trinidad and Tobago,Trinidad and Tobago,TTO,2012,Summer,4,20332.1389531925
Tunisia,Tunisia,TUN,2012,Summer,3,4297.26782454273
Turkey,Turkiye,TUR,2012,Summer,3,11776.7593362033
Uganda,Uganda,UGA,2012,Summer,1,795.222867553127
Ukraine,Ukraine,UKR,2012,Summer,19,3951.34228515625
United States,United States,USA,2012,Summer,104,51708.4011556577
Uzbekistan,Uzbekistan,UZB,2012,Summer,3,2307.34649117185
Venezuela,"Venezuela, RB",VEN,2012,Summer,1,12607.2361246243
Vietnam,Viet Nam,VNM,2012,Summer,1,2185.11767654291
Australia,Australia,AUS,2014,Winter,3,62817.2061751737
Austria,Austria,AUT,2014,Winter,17,51314.9722616322
Belarus,Belarus,BLR,2014,Winter,6,8341.31809294883
Canada,Canada,CAN,2014,Winter,25,50960.8431174661
China,China,CHN,2014,Winter,9,7781.06597484974
Croatia,Croatia,HRV,2014,Winter,1,14186.7295493276
Czech Republic,Czechia,CZE,2014,Winter,9,20038.4163180257
Finland,Finland,FIN,2014,Winter,5,50073.7760815871
France,France,FRA,2014,Winter,15,43148.0459288416
Germany,Germany,DEU,2014,Winter,19,48959.5991203133
Great Britain,United Kingdom,GBR,2014,Winter,5,47746.2421759562
Italy,Italy,ITA,2014,Winter,8,36028.3494022349
Japan,Japan,JPN,2014,Winter,8,38475.3952461838
Kazakhstan,Kazakhstan,KAZ,2014,Winter,1,12427.7094576939
Korea Republic,"Korea, Rep.",KOR,2014,Winter,8,30667.0912467447
Latvia,Latvia,LVA,2014,Winter,5,15185.814581236
Netherlands,Netherlands,NLD,2014,Winter,24,53457.2234864322
Norway,Norway,NOR,2014,Winter,26,97666.6951838749
Poland,Poland,POL,2014,Winter,6,14262.2841914116
Russian Federation,Russian Federation,RUS,2014,Winter,29,14055.47265625
Slovakia,Slovak Republic,SVK,2014,Winter,1,18770.9289896545
Slovenia,Slovenia,SVN,2014,Winter,8,24013.0682060959
Sweden,Sweden,SWE,2014,Winter,15,59583.4584491714
Switzerland,Switzerland,CHE,2014,Winter,11,88724.9909402638
Ukraine,Ukraine,UKR,2014,Winter,2,3054.908203125
United States,United States,USA,2014,Winter,28,54973.4207515712
Algeria,Algeria,DZA,2016,Summer,2,4424.98529027556
Argentina,Argentina,ARG,2016,Summer,4,12699.9623137756
Armenia,Armenia,ARM,2016,Summer,4,3524.42476874707
Australia,Australia,AUS,2016,Summer,29,50084.4440606385
Austria,Austria,AUT,2016,Summer,1,45061.4993920192
Azerbaijan,Azerbaijan,AZE,2016,Summer,18,3880.6852276838
Bahamas,"Bahamas, The",BHS,2016,Summer,2,30616.5363157284
Bahrain,Brunei Darussalam,BRN,2016,Summer,2,26663.2972950602
Belarus,Belarus,BLR,2016,Summer,9,5039.77560949445
Belgium,Belgium,BEL,2016,Summer,6,41854.5498296444
Brazil,Brazil,BRA,2016,Summer,19,8836.28546025694
Bulgaria,Bulgaria,BGR,2016,Summer,3,7822.49923292968
Burundi,Burundi,BDI,2016,Summer,1,232.937812100153
Canada,Canada,CAN,2016,Summer,22,42314.0615817218
China,China,CHN,2016,Summer,70,8254.86859320357
Colombia,Colombia,COL,2016,Summer,8,5959.84250367574
Cote d'Ivoire,Cote d'Ivoire,CIV,2016,Summer,2,1862.59597081287
Croatia,Croatia,HRV,2016,Summer,10,12820.1653893008
Cuba,Cuba,CUB,2016,Summer,11,8110.55874283616
Czech Republic,Czechia,CZE,2016,Summer,10,18753.9686718096
Denmark,Denmark,DNK,2016,Summer,15,54500.9260410217
Dominican Republic,Dominican Republic,DOM,2016,Summer,1,7160.44200982307
Egypt,"Egypt, Arab Rep.",EGY,2016,Summer,3,3270.6287768197
Estonia,Estonia,EST,2016,Summer,1,18666.3736521706
Ethiopia,Ethiopia,ETH,2016,Summer,8,641.651523286233
Fiji,Fiji,FJI,2016,Summer,1,5363.79026679243
Finland,Finland,FIN,2016,Summer,1,43451.2562442158
France,France,FRA,2016,Summer,42,37024.2157133669
Georgia,Georgia,GEO,2016,Summer,7,4143.40125686315
Germany,Germany,DEU,2016,Summer,42,42948.9381932694
Great Britain,United Kingdom,GBR,2016,Summer,67,41257.9085545556
Greece,Greece,GRC,2016,Summer,6,17919.2426377048
Grenada,Grenada,GRD,2016,Summer,1,9221.23461079424
Hungary,Hungary,HUN,2016,Summer,15,13215.8605277789
India,India,IND,2016,Summer,2,1707.50892912243
Indonesia,Indonesia,IDN,2016,Summer,3,3521.46943457574
Iran,"Iran, Islamic Rep.",IRN,2016,Summer,8,5710.59947089104
Ireland,Ireland,IRL,2016,Summer,2,64129.5571542383
Israel,Israel,ISR,2016,Summer,2,37671.5389138798
Italy,Italy,ITA,2016,Summer,28,31391.5692898108
Jamaica,Jamaica,JAM,2016,Summer,11,5302.29553353854
Japan,Japan,JPN,2016,Summer,41,39375.4731620781
Jordan,Jordan,JOR,2016,Summer,1,3986.71677010853
Kazakhstan,Kazakhstan,KAZ,2016,Summer,17,7475.56688689424
Kenya,Kenya,KEN,2016,Summer,13,1554.12610314423
Korea Republic,"Korea, Rep.",KOR,2016,Summer,21,30832.0628072516
Kosovo,Kosovo,XKX,2016,Summer,1,3759.44959067104
Lithuania,Lithuania,LTU,2016,Summer,4,14934.2702840428
Malaysia,Malaysia,MYS,2016,Summer,5,9476.53409809923
Mexico,Mexico,MEX,2016,Summer,5,9097.92397674769
Mongolia,Mongolia,MNG,2016,Summer,2,3619.90026383792
Morocco,Morocco,MAR,2016,Summer,1,3140.85546875
Netherlands,Netherlands,NLD,2016,Summer,19,46808.5291492503
New Zealand,New Zealand,NZL,2016,Summer,18,40113.7195382428
Niger,Niger,NER,2016,Summer,1,502.706475406446
Nigeria,Nigeria,NGA,2016,Summer,1,2070.4127339595
Norway,Norway,NOR,2016,Summer,4,70867.3609970749
Philippines,Philippines,PHL,2016,Summer,1,2985.19564024046
Poland,Poland,POL,2016,Summer,11,12464.0110508476
Portugal,Portugal,PRT,2016,Summer,1,19980.2808866516
Puerto Rico,Puerto Rico (US),PRI,2016,Summer,1,29978.0889268918
Qatar,Qatar,QAT,2016,Summer,1,61253.6217997091
Romania,Romania,ROU,2016,Summer,4,9404.54005870715
Russian Federation,Russian Federation,RUS,2016,Summer,56,8663.158203125
Serbia,Serbia,SRB,2016,Summer,8,5982.37030126471
Singapore,Singapore,SGP,2016,Summer,1,57005.5887176547
Slovakia,Slovak Republic,SVK,2016,Summer,4,16636.0769133073
Slovenia,Slovenia,SVN,2016,Summer,4,21447.8377796036
South Africa,South Africa,ZAF,2016,Summer,10,5651.20585165749
Spain,Spain,ESP,2016,Summer,17,26755.6061149398
Sweden,Sweden,SWE,2016,Summer,11,51703.5088332851
Switzerland,Switzerland,CHE,2016,Summer,7,82153.0745447889
Tajikistan,Tajikistan,TJK,2016,Summer,1,788.710481734485
Thailand,Thailand,THA,2016,Summer,6,5833.57715617098
Trinidad and Tobago,Trinidad and Tobago,TTO,2016,Summer,1,17449.1538801956
Tunisia,Tunisia,TUN,2016,Summer,3,3847.80354448809
Turkey,Turkiye,TUR,2016,Summer,8,10984.3643169061
Ukraine,Ukraine,UKR,2016,Summer,11,2158.46118164063
United Arab Emirates,United Arab Emirates,ARE,2016,Summer,1,42721.0999383185
United States,United States,USA,2016,Summer,121,57638.1018367192
Uzbekistan,Uzbekistan,UZB,2016,Summer,13,2753.37951427589
Venezuela,"Venezuela, RB",VEN,2016,Summer,3,3670.15737848208
Vietnam,Viet Nam,VNM,2016,Summer,2,2735.0604380416
Australia,Australia,AUS,2018,Winter,3,57410.1737346009
Austria,Austria,AUT,2018,Winter,14,51194.0749841299
Belarus,Belarus,BLR,2018,Winter,3,6360.037502312
Belgium,Belgium,BEL,2018,Winter,1,47487.2100392561
Canada,Canada,CAN,2018,Winter,29,46539.1761570405
China,China,CHN,2018,Winter,9,10085.6638148819
Czech Republic,Czechia,CZE,2018,Winter,7,23705.9329811299
Finland,Finland,FIN,2018,Winter,6,49654.2497035329
France,France,FRA,2018,Winter,15,41418.1766484844
Germany,Germany,DEU,2018,Winter,31,48916.1686612154
Great Britain,United Kingdom,GBR,2018,Winter,5,43702.9976303165
Hungary,Hungary,HUN,2018,Winter,1,16605.0570511887
Italy,Italy,ITA,2018,Winter,10,34904.1081923834
Japan,Japan,JPN,2018,Winter,13,39751.1330982711
Kazakhstan,Kazakhstan,KAZ,2018,Winter,1,9472.48527327758
Korea Republic,"Korea, Rep.",KOR,2018,Winter,17,35363.9508228687
Latvia,Latvia,LVA,2018,Winter,1,17252.1710428626
Liechtenstein,Liechtenstein,LIE,2018,Winter,1,174988.775083446
Netherlands,Netherlands,NLD,2018,Winter,20,53955.0770024266
New Zealand,New Zealand,NZL,2018,Winter,2,43257.0769238879
Norway,Norway,NOR,2018,Winter,39,82792.8427113304
Olympic Athletes from Russia,Russian Federation,RUS,2018,Winter,17,11211.8876953125
Poland,Poland,POL,2018,Winter,2,15658.2120316794
Slovakia,Slovak Republic,SVK,2018,Winter,3,19573.3717031314
Slovenia,Slovenia,SVN,2018,Winter,2,25888.0481065655
Spain,Spain,ESP,2018,Winter,2,30602.4212881113
Sweden,Sweden,SWE,2018,Winter,14,54018.4554391861
Switzerland,Switzerland,CHE,2018,Winter,15,85217.3691512274
Ukraine,Ukraine,UKR,2018,Winter,1,3059.0517578125
United States,United States,USA,2018,Winter,23,62499.8744390068
Argentina,Argentina,ARG,2020,Summer,3,8535.59938004389
Armenia,Armenia,ARM,2020,Summer,4,4268.68093304583
Australia,Australia,AUS,2020,Summer,45,51983.4523666382
Austria,Austria,AUT,2020,Summer,7,48716.4098900349
Azerbaijan,Azerbaijan,AZE,2020,Summer,6,4229.91064904503
Bahamas,"Bahamas, The",BHS,2020,Summer,2,26178.7537607708
Bahrain,Brunei Darussalam,BRN,2020,Summer,1,26834.3592233943
Belarus,Belarus,BLR,2020,Summer,7,6542.85579976768
Belgium,Belgium,BEL,2020,Summer,6,45906.2875805246
Bermuda,Bermuda,BMU,2020,Summer,1,106976.546239632
Botswana,Botswana,BWA,2020,Summer,1,6323.2974967659
Brazil,Brazil,BRA,2020,Summer,18,7074.19407495707
Bulgaria,Bulgaria,BGR,2020,Summer,4,10760.211975413
Burkina Faso,Burkina Faso,BFA,2020,Summer,1,825.237038782475
Canada,Canada,CAN,2020,Summer,23,43537.839298904
China,China,CHN,2020,Summer,87,10627.4637989619
Colombia,Colombia,COL,2020,Summer,5,5339.68711357943
Croatia,Croatia,HRV,2020,Summer,8,14807.5608543265
Cuba,Cuba,CUB,2020,Summer,13,9605.27914559614
Czech Republic,Czechia,CZE,2020,Summer,11,23472.8915454417
Denmark,Denmark,DNK,2020,Summer,11,60985.4885601514
Dominican Republic,Dominican Republic,DOM,2020,Summer,5,7135.22273255899
Ecuador,Ecuador,ECU,2020,Summer,3,5463.64515348598
Egypt,"Egypt, Arab Rep.",EGY,2020,Summer,3,3511.11381026379
Estonia,Estonia,EST,2020,Summer,2,23933.9939421065
Ethiopia,Ethiopia,ETH,2020,Summer,4,829.790982547947
Fiji,Fiji,FJI,2020,Summer,2,4620.6457238014
Finland,Finland,FIN,2020,Summer,1,48828.6846862799
France,France,FRA,2020,Summer,31,39169.8606000707
Georgia,Georgia,GEO,2020,Summer,8,4300.85701291207
Germany,Germany,DEU,2020,Summer,37,47394.8734504469
Ghana,Ghana,GHA,2020,Summer,1,2195.45481659987
Great Britain,United Kingdom,GBR,2020,Summer,62,40812.6794663879
Greece,Greece,GRC,2020,Summer,4,17886.733165236
Grenada,Grenada,GRD,2020,Summer,1,8968.55890108484
Hong Kong,"Hong Kong SAR, China",HKG,2020,Summer,6,46109.2299946609
Hungary,Hungary,HUN,2020,Summer,19,16386.9308821258
India,India,IND,2020,Summer,6,1907.04251637669
Indonesia,Indonesia,IDN,2020,Summer,5,3853.70288774146
Iran,"Iran, Islamic Rep.",IRN,2020,Summer,6,3202.50003502169
Ireland,Ireland,IRL,2020,Summer,3,86514.0706108754
Israel,Israel,ISR,2020,Summer,2,44575.5719045492
Italy,Italy,ITA,2020,Summer,37,32091.4866621366
Ivory Coast,Cote d'Ivoire,CIV,2020,Summer,1,2179.72934832935
Jamaica,Jamaica,JAM,2020,Summer,9,5299.04530804283
Japan,Japan,JPN,2020,Summer,56,40028.7341726762
Jordan,Jordan,JOR,2020,Summer,1,4022.0401356135
Kazakhstan,Kazakhstan,KAZ,2020,Summer,5,8781.50797787648
Kenya,Kenya,KEN,2020,Summer,10,1927.66459027849
Kosovo,Kosovo,XKX,2020,Summer,2,4310.88963754863
Kuwait,Kuwait,KWT,2020,Summer,1,25236.0755848941
Kyrgyzstan,Kyrgyz Republic,KGZ,2020,Summer,2,1229.51766602907
Latvia,Latvia,LVA,2020,Summer,2,17564.2321549354
Lithuania,Lithuania,LTU,2020,Summer,1,20428.6478157394
Malaysia,Malaysia,MYS,2020,Summer,2,9957.52626697613
Mexico,Mexico,MEX,2020,Summer,4,8841.27075039868
Moldova,Moldova,MDA,2020,Summer,1,4375.7788930524
Mongolia,Mongolia,MNG,2020,Summer,1,4001.25193077703
Morocco,Morocco,MAR,2020,Summer,1,3268.0302734375
Namibia,Namibia,NAM,2020,Summer,1,3878.58982993966
Netherlands,Netherlands,NLD,2020,Summer,35,53467.9277413737
New Zealand,New Zealand,NZL,2020,Summer,20,41997.7830324279
Nigeria,Nigeria,NGA,2020,Summer,2,2797.18458068686
North Macedonia,North Macedonia,MKD,2020,Summer,1,6659.59651070776
Norway,Norway,NOR,2020,Summer,8,68340.0181033702
Philippines,Philippines,PHL,2020,Summer,4,3227.57910235199
Poland,Poland,POL,2020,Summer,14,16150.9304813473
Portugal,Portugal,PRT,2020,Summer,4,22299.4044062173
Puerto Rico,Puerto Rico (US),PRI,2020,Summer,1,31427.1130762831
Qatar,Qatar,QAT,2020,Summer,3,51683.5681078949
ROC,Russian Federation,RUS,2020,Summer,62,10108.3271484375
Romania,Romania,ROU,2020,Summer,4,13009.1770573223
San Marino,San Marino,SMR,2020,Summer,2,44326.9556746411
Saudi Arabia,Saudi Arabia,SAU,2020,Summer,1,24338.8307301067
Serbia,Serbia,SRB,2020,Summer,8,8098.70955668849
Slovakia,Slovak Republic,SVK,2020,Summer,4,19735.4858280801
Slovenia,Slovenia,SVN,2020,Summer,5,25392.0651093612
South Africa,South Africa,ZAF,2020,Summer,3,5580.60383075189
South Korea,"Korea, Rep.",KOR,2020,Summer,20,33645.7719545073
Spain,Spain,ESP,2020,Summer,17,27233.9426461608
Sweden,Sweden,SWE,2020,Summer,9,52568.5726980146
Switzerland,Switzerland,CHE,2020,Summer,13,85897.7843338323
Syria,Syrian Arab Republic,SYR,2020,Summer,1,572.355289831901
Thailand,Thailand,THA,2020,Summer,2,6985.64393892574
Tunisia,Tunisia,TUN,2020,Summer,2,3548.65363663803
Turkey,Turkiye,TUR,2020,Summer,8,8798.11791709313
Turkmenistan,Turkmenistan,TKM,2020,Summer,1,5972.72356566861
Uganda,Uganda,UGA,2020,Summer,4,845.766463890124
Ukraine,Ukraine,UKR,2020,Summer,18,3709.76928710938
United States,United States,USA,2020,Summer,110,63515.9491807833
Uzbekistan,Uzbekistan,UZB,2020,Summer,4,1978.28051860763
Venezuela,"Venezuela, RB",VEN,2020,Summer,4,1506.0436210041
Australia,Australia,AUS,2022,Winter,4,65169.5191118657
Austria,Austria,AUT,2022,Winter,18,52336.7725223758
Belarus,Belarus,BLR,2022,Winter,2,7994.64806074889
Belgium,Belgium,BEL,2022,Winter,2,50605.7496677086
Canada,Canada,CAN,2022,Winter,26,56256.8007264015
China,China,CHN,2022,Winter,15,12970.6056414327
Czech Republic,Czechia,CZE,2022,Winter,2,28282.2236715857
Estonia,Estonia,EST,2022,Winter,1,28340.3826549406
Finland,Finland,FIN,2022,Winter,8,50440.560224974
France,France,FRA,2022,Winter,14,40988.6396406579
Germany,Germany,DEU,2022,Winter,27,50506.5179638543
Great Britain,United Kingdom,GBR,2022,Winter,2,47057.043229179
Hungary,Hungary,HUN,2022,Winter,3,18428.028825614
Italy,Italy,ITA,2022,Winter,17,35653.9042103495
Japan,Japan,JPN,2022,Winter,18,34065.6438962526
Korea Republic,"Korea, Rep.",KOR,2022,Winter,9,34822.4048404971
Latvia,Latvia,LVA,2022,Winter,1,20221.103686109
Netherlands,Netherlands,NLD,2022,Winter,17,59123.318556487
New Zealand,New Zealand,NZL,2022,Winter,3,49099.7090423358
Norway,Norway,NOR,2022,Winter,37,109269.520580298
Poland,Poland,POL,2022,Winter,1,18891.2121169279
ROC,Russian Federation,RUS,2022,Winter,32,15619.6142578125
Slovakia,Slovak Republic,SVK,2022,Winter,2,21317.7943982363
Slovenia,Slovenia,SVN,2022,Winter,7,28360.3041467268
